vinho,preço,comentário_do_sommelier,uva,país,região,classificação,vinícola,teor_alcoólico,temperatura_de_serviço,olfativo,visual,gustativo,harmonização
Vinho Português Branco ALANDRA Garrafa 750ml,44.49,sutil charmoso,antão vaz perrum arinto,portugal,alentejo,branco,esporão,13.0,9.0,cítrico fresco,possui lindo aspecto cristalino cor citrina,jovem frutado leve equilibrado,carnes peixes
Vinho Chileno Branco Seco Reservado Santa Helena Chardonnay Garrafa 750ml,44.99,branco elaborado variedades plantadas mundo chardonnay santa helena apresenta delicioso frescor delicadeza,chardonay,chile,"vale central, chile",branco,viña santa helena,13.0,9.0,frutado notas remetem pêssego frutas cítricas,amarelo claro,leve frutado bastante fresco,aperitivo entradas base frutos mar saladas geral peixes grelhados massas queijos leves
Vinho Chileno Branco Seco Reservado Santa Helena Chardonnay Garrafa 750ml,44.99,branco elaborado variedades plantadas mundo chardonnay santa helena apresenta delicioso frescor delicadeza,chardonay,chile,"vale central, chile",branco,viña santa helena,13.0,9.0,frutado notas remetem pêssego frutas cítricas,amarelo claro,leve frutado bastante fresco,aperitivo entradas base frutos mar saladas geral peixes grelhados massas queijos leves
Vinho Francês Rosé PISCINE STRIPES Garrafa 750ml,139.99,rosé piscine realmente vinho inovador refrescante,várias uvas,frança,provence,rosé,vinovalie,13.0,8.0,limão morango,rosé salmão pálido,harmonioso leve,peixes frutos mar
Vinho Francês Rosé PISCINE STRIPES Garrafa 750ml,139.99,rosé piscine realmente vinho inovador refrescante,várias uvas,frança,provence,rosé,vinovalie,13.0,8.0,limão morango,rosé salmão pálido,harmonioso leve,peixes frutos mar
Vinho Chileno Branco 120 RESERVA ESPECIAL Chardonnay Garrafa 750ml,44.99,vinho agradável fácil beber,chardonay,chile,valle central,branco,santa rita,13.5,11.0,aromas frutos tropicais leve toque madeira,brilhante límpido,boca bom corpo acidez equilibrada,ideal acompanhar aperitivos pratos leves massas carnes brancas
Vinho Chileno Branco 120 RESERVA ESPECIAL Chardonnay Garrafa 750ml,44.99,vinho agradável fácil beber,chardonay,chile,valle central,branco,santa rita,13.5,11.0,aromas frutos tropicais leve toque madeira,brilhante límpido,boca bom corpo acidez equilibrada,ideal acompanhar aperitivos pratos leves massas carnes brancas
Vinho Argentino Branco PAULA Sauvignon Blanc Garrafa 750ml,63.99,delicioso vinho ótimo equilíbrio final persistente,sauvignon blanc,argentina,mendonza,branco,dona paula,12.5,9.0,aroma puro intenso,brilhante,saboroso acidez vibrante nuanças frutas cítricas,delicioso aperitivo acompanhando pratos leves delicados saladas massas molhos claros peixes frutos mar grelhados sushi sashimi frango queijos massa mole fondue queijo
Vinho Argentino Branco PAULA Sauvignon Blanc Garrafa 750ml,63.99,delicioso vinho ótimo equilíbrio final persistente,sauvignon blanc,argentina,mendonza,branco,dona paula,12.5,9.0,aroma puro intenso,brilhante,saboroso acidez vibrante nuanças frutas cítricas,delicioso aperitivo acompanhando pratos leves delicados saladas massas molhos claros peixes frutos mar grelhados sushi sashimi frango queijos massa mole fondue queijo
Vinho Argentino Rosé FINCA FLICHMAN Malbec Shiraz Garrafa 750ml,44.49,vinho consumir jovem fresco momentos especiais,malbec shiraz,argentina,barrancas,rosé,finca flichman,13.0,11.0,aroma rico bastante frutado,cor rosa marcante,elegante final persistente,sushi salmão grelhado
Vinho Argentino Branco SANTA JULIA Sauvignon Blanc Garrafa 750ml,72.99,vinho saboroso refrescante,sauvignon blanc,argentina,mendoza,branco,santa rita,13.0,10.5,doce aroma abacaxi manga frutas polpa branca,amarelo reflexos esverdeados,redondo final fresco,frutos mar frango peixes grelhados
Vinho Brasileiro Branco de Mesa Seco CHALISE Garrafa 750ml,16.99,excelente pedida gastando pouco,herbemont niágara seyve villard,brasil,rio grande do sul,branco,vinícola salton,11.0,10.0,aroma frutas cítricas maçã verde,brilhante tonalidade amarelo claro reflexos esverdeados,sabor leve macio,frutos mar peixes canapés queijos suaves sopas
Vinho Chileno Branco MEDALLA REAL GRAN RESERVA Chardonnay Garrafa 750ml ,159.99,vinho convidativo agradável consumir qualquer momento,chardonnay,chile,valle de leyda,branco,santa rita,13.5,9.5,aromas complexos nota mineral inicialmente dominando conjunto notas cítricas mel sobre discreto fundo baunilhado,amarelo dourado intenso brilhante,boca ratificou sensações olfativas muita delicadeza elegância frescor tipicidade estrutura ausência amargor,acompanha peixes molhos cremosos aves crustáceos queijos curados
Vinho Português Branco Meio Seco Club Des Sommeliers Vinho Verde Garrafa 750ml,49.99,delicioso vinho português,assemblage,portugal,vinho verde,branco,grupo enoport,90.0,7.0,aroma frutado intenso citrinos frutos polpa branca,cor granada,sabor frutado fresco harmonioso ligeiramente frisante,ideal acompanhar pratos peixe marisco
Vinho Italiano Branco Seco Club Des Sommeliers Malvasia Frascati Garrafa 750ml,62.99,vinho leve pouca acidez perfeito dias quentes,trebbiano malvasia,itália,frascati,branco,cantine san marco srl,12.0,11.0,nariz vinho bem mineral leve toque pêssego,límpido,boca pouca acidez leve fresco poucos sabores notei apenas nuances abacaxi,carnes brancas leves frutos mar queijos pouco ácidos aperitivos
Vinho Português Branco Verde CASAL GARCIA Garrafa 375ml,35.99,casal garcia marca tradicional vinhos verdes mundo todo branco leve refrescante perfeito acompanhar petiscos aperitivos,trajadura loureiro arinto azal,portugal,vinhos verdes doc,branco,aveleda,95.0,6.0,frutas cítricas notas florais,amarelo palha reflexos esverdeados,frutado ligeiramente efervescente refrescante,aperitivo saladas geral canapés frios peixes grelhados bacalhau frutos mar
Vinho Chileno Branco MEDALLA REAL GRAN RESERVA Sauvignon Blanc Garrafa 750ml ,159.99,vinho intenso complexo,sauvignon blanc,chile,vale do colchagua,branco,santa rita,13.5,9.5,combina notas minerais cítricas flores brancas,reflexos esverdeados,apresenta acidez refrescante conjugada equilíbrio fruta possui bom corpo textura aveludada muita profundidade,acompanha peixes molhos cremosos aves crustáceos queijos curados
Vinho Português Rosé Meio Seco Casal Garcia Vinho Verde Garrafa 750ml,59.99,rosé fresco leve agradável assim vinhos região vinhos verdes portugal perfeito aperitivo harmonizar culinária oriental thai,vinhão azal tinto borraçal,portugal,vinhos verdes doc,rosé,aveleda,10.0,6.0,morango framboesa,vermelho rosado brilhante,leve frutado ligeiramente efervescente refrescante,aperitivo canapés geral salada carpaccio entradas base frutos mar massas molho pesto
Vinho Chileno Branco Seco Gato Negro Chardonnay Valle Central Garrafa 750ml,46.99,elegante frutado versátil,chardonnay,chile,valle central,branco,viña san pedro,13.5,11.0,notas pêssego abacaxi banana baunilha,amarelo brilhante,frutado macio fresco,combina aperitivos saladas ostras gratinadas peixes assados grelhados salmão robalo aves tortas legumes queijos leves
Vinho Francês Branco LOUIS JADOT Corton Charlemagne Grand Cru Garrafa 750ml,3299.99,apresenta notas cereja amora framboesa especiarias toques amadeirados boca apresenta complexidade taninos macios equilibrados boa persistência,chardonnay,frança,côte de beaune corton charlemagne borgonha,branco,maison louis jadot,14.0,11.0,intenso complexo notas minerais florais frutas brancas pimenta canela,amarelo dourado brilhante,rico complexo corpo macio redondo elevada acidez,pratos base aves molhos base creme leite risotos cremosos peixes molho lagosta haddock queijos médios
Vinho Francês Branco LOUIS JADOT Meursault Garrafa 750ml,849.99,possui notas frutas brancas amarelas maduras avelã toques especiarias boca apresenta textura cremosa elegante boa acidez final limpo,chardonnay,frança,côte de beaune meursalt borgonha,branco,maison louis jadot,13.0,11.0,frutas brancas amarelas maduras avelã toques especiarias,amarelo dourado brilhante,textura cremosa elegante boa acidez final limpo,peixes molhos cremosos mariscos queijos médios risoto cremosos lagosta
Vinho Francês Branco Léon Beyer Alsace Gewurztraminer Garrafa 750Ml,415.99,possui notas lichia grapefruit toques florais apimentado apresenta corpo boa acidez final prolongado,gewurztraminer,frança,eguisheim (alsácia),branco,léon beyer,14.0,11.0,frutado florais apimentado,amarelo claro brilhante,estruturado fresco elegante,aperitivo canapés frios salada kani carnes brancas peixes magros grelhados massas molho pesto culinária asiática
Vinho Italiano Branco Frescobaldi Pominio Benefizio Riserva Garrafa 750Ml,659.99,complexo vinho branco notas especiarias avelã frutas secas toques florais acácia boca fresco equilibrado elegante boa acidez corpo médio,chardonnay,itália,"pomino, toscana",branco,marchesi di frescobaldi.,13.5,8.0,notas especiarias avelã flores acácia frutas secas,amarelo palha reflexos dourados,fresco equilibrado elegante,aperitivo frios antepastos carnes brancas grelhadas pratos molhos cremosos queijos cremosos
Vinho Chileno Branco Late Harvest CLUB DES SOMMELIERS 375ml,69.99,vinho leve refrescante,sauvignon blanc,chile,vale de colchagua,branco,club des sommeliers,12.0,11.0,aroma cítrico frutado,cor dourada clara,sabor doce notas frutas cítricas,peixes salmão atum mariscos pratos vegetarianos
Vinho Nacional Branco CASA PERINI Sauvignon Blanc Garrafa 750ml,59.99,neste vinho trabalhamos extrair máximo potencial desta emblemática variedade,sauvignon blanc,brasil,rio grande do sul,branco,vinícola perini,12.0,9.0,aromas remetem lima flor maracujá nuances,coloração reflexos esverdeados,paladar apresenta boa acidez equilíbrio corpo médio final refrescante,acompanha aves peixes leves frutos mar pratos base molhos agridoces risotos queijos vegetais
Vinho Português Branco DORY Reserva Garrafa 750ml,209.99,alta acidez traz frescor sabor,viosinho alvarinho chardonnay,portugal,lisboa,branco,adegamãe,14.0,11.0,nariz traz aromas frutas tropicais frescas maracujá lichia florais delicados,cor amarelo palha limpo,corpo leve ponto atraente sugeri outra taça longa persistência faz relembrar sabor,harmoniza perfeitamente peixes leves cozinha japonesa saladas
Vinho Argentino Branco LOS PASSOS Chardonay/Sémillon 750ml,74.99,rótulo frutado refrescante,chardonnay sémillon,argentina,luján de cuyo (mendoza),branco,bodega septima,13.0,9.0,aroma apresenta rutas cítricas abacaxi maçã,cor amarelo brilhante,boca leve frutado refrescante,aperitivo canapés frios peixes leves grelhados saladas geral queijos leves
Vinho Português Branco ALENTEJANO MONTADO Garrafa 750ml,83.99,vinho elegante suave,assemblage,portugal,alentejo,branco,josé maria da fonseca,14.0,11.0,maracujá lima,amarelo cítrico,fresco frutado equilibrado,perfeito acompanhamento peixes
Vinho Chileno Branco Santa Helena Reservado Sauvignon Blanc Garrafa 750ml,26.99,vinho amarelo claro reflexos verdiais apresenta notas frutadas remetem frutas brancas tropicais cítricas possui corpo leve final refrescante,sauvignon blanc,chile,"vale central, chile",branco,viña santa helena,12.5,9.0,notas frutadas remetem frutas brancas tropicais cítricas,amarelo claro reflexos verdiais,frutado bastante fresco,aperitivo canapés geral saladas frutos mar queijo cabra
Vinho Português branco Verde Aveleda 750ML,189.99,típico vinho verde feito uva alvarinho intenso aroma maracujá pera toques florais cítricos,alvarinho,portugal,minho,branco,aveleda,12.0,11.0,aromas cítricos típicos,aspeto límpido tons amarelo palha,deliciosas notas maracujá flores brancas,legumes gratinados ostras espargos molho manteiga peixes gordos salmão atum
Vinho Português Branco PERIQUITA Garrafa 750ml,89.99,apresenta aromas agradáveis pêssego melão toques florais minerais,moscatel setúbal arinto,portugal,península de setúbal,branco,josé maria da fonseca,13.0,10.0,pêssego melão toques florais minerais,amatrelo palha reflexos esverdeados,grande frescor devido correta acidez,ótimo acompanhante frutos mar receitas delicadas bacalhau
Vinho Brasileiro Branco de Mesa Suave CHALISE Garrafa 750ml,16.99,excelente pedida gastando pouco,herbemont niágara seyve villard,brasil,rio grande do sul,branco,vinícola salton,11.0,10.0,aroma frutas cítricas maçã verde,brilhante tonalidade amarelo claro reflexos esverdeados,sabor suave macio,sobremes frutas
Vinho Argentino Branco Reserva Terrazas De Los Andes Chardonnay Valle de Uco Garrafa 750ml,139.99,chardonnay excelente oferece aromas pêra baunilha pão tostado quase bourgogne estilo toques pimenta,chardonnay,argentina,mendoza,branco,terrazas de los andes,14.0,11.0,intenso complexo notas frutas frescas maduras pêssego damasco além notas mel frutas secas conjunto combina delicados aromas baunilha procedentes passagem madeira,dourado brilhante reflexos verdes,equilíbrio harmonia corpo volume redondez conferem grande personalidade persistência boca,devido complexidade deste vinho pode delicioso frutos mar lagostas peixes oleosos salmão textura cremosa vinho pode combinar bem pratos pêras maçãs
Vinho Português Branco Verde ADEGA PONTE DE LIMA Loureiro Garrafa 750ml,125.99,contrário pensa vinhos verdes boa qualidade podem bebidos melhoram passar alguns anos,loureiro,portugal,minho,branco,adega cooperativa ponte de lima,11.0,11.0,aromas frutas frescas cítricas florais,cor amarela clara levíssima gaseificação,boca seco extremamente refrescante delicioso,peixes frutos mar entradas massas molhos brancos
Vinho Chileno CASILLERO DEL DIABLO Devil's Collection Assemblage Branco com 750ML,99.99,vinho jovem sedutor fresco princípio fim personalidade leve envolvente proporciona expressividade inigualável,assemblage,chile,valle da casablanca,branco,concha y toro,13.5,9.0,aromas delicados frescos toranja figo todos complementado toque mineral agradável macio solução salina,amarelo pálido tonalidades esverdeadas,vinho bem equilibrado início fim frescor agradável acidez média complementando sabores cítricos destacando limão toranja,combina perfeição mariscos frescos diferentes tipos saladas
Vinho Chileno Branco GREY Chardonnay Garrafa 750ml,169.99,vinho produzido único single block videiras premiuns nome vem língua mapuches índios nativos chilenos homenagem maiores glaciais mundo vinhos marca grey intensos únicos alta qualidade muita tipicidade terroires chilenos,chardonnay,chile,valle de casablanca,branco,viña ventisquero,13.5,10.0,aroma frutas cítricas maça mel,amarelo palha límpido brilhante,corpo intenso bom frescor equilibrado,perfeito camarões lagosta peixes aves
Vinho Brasileiro Branco de Mesa Suave COUNTRY WINE Garrafa 750ml,16.79,sabor único,assemblage,brasil,serra gaúcha,tinto,vinícola aurora,10.0,15.0,frutado característico variedades americanas,coloração,leve agradável,peixes massas molhos leves aves comidas sabor adocicado
Vinho Nacional Branco ALLUMÉ PIZZATO Chardonnay Garrafa 750ml,79.99,vinho fresco personalidade,chardonnay,brasil,serra gáucha,branco,pizzato vinhas e vinhos,12.5,10.5,aromas lembram abacaxi peras amanteigados tostados baunilha especiarias doces,cor amarelho palha dourado traços esverdeados,paladar apresenta belo equilíbrio sabores acidez resultando persistência aromática remetendo frutas frescas mescladas baunilha mel,peixes massas leves queijos saladas
Vinho Português Branco Casa Ferreirinha RESERVA PLANALTO DOURO Garrafa 750ml,179.99,vinho fresco estruturado rico perfumes frutas notas florais,viosinho malvasia fina gouveio códega arinto,portugal,douro,branco,casa ferreirinha,12.0,7.0,frutas vermelhas maduras surgindo aromas terciarios,amarelo palha reflexos esverdeados,fresco notas florais frescas,pescados mariscos canapés
Vinho Português Branco QUINTA DA ALORNA Garrafa 750ml,145.99,vinho branco fresco delicado agradável,arinto fernão pires sauvignon blanc marsanne,portugal,tejo,branco,quinta da alorna,12.05,11.0,frutos tropicais citrinos,citrina,boa acidez equilibrado boca redondo refrescante termina vivo agradável,peixes mariscos saladas sushi carnes brancas
Vinho Californiano Branco Robert Mondavi Twin Oaks Chardonnay Garrafa 750Ml,99.99,vinho fresco frutado possui notas frutas tropicais maçã toques canela boca possui corpo médio boa acidez textura untuosa,colombard viognier muscat canelli orange muscat verdelho,estados unidos,lodi (califórnia),branco,robert mondavi,14.0,8.0,notas frutas tropicais maçã toques canela,amarelo reflexos dourados,frutado fresco levemente untuoso,aperitivos vegetais grelhados carnes brancas massas molhos brancos cremosos
Vinho Português Branco VINHAS VELHAS PAULO LAUREANO Private Garrafa 750ml,349.99,private selection grande escolha produtor comemorar grandes momentos,antão vaz,portugal,alentejo,branco,paulo laureano vinus,13.5,7.0,pleno aromas tropicais casca tangerina mesclados notas especiarias,citrina,vinho bem equilibrado forte estrutura frontal fresco entrada untuoso forte personalidade final boca longo fresco extrema elegância,terrines patês caça veado perdiz carpaccio quiche lorraine peixes elegantes
Vinho Chileno Branco CONDOR MILLAMAN Sauvignon Blanc Garrafa 750ml,48.99,corpo médio preço atraente,sauvignon blanc,chile,curicó,branco,millaman,13.0,7.0,boa presença fruta cítrica,cor palha destaca tipicidade equilíbrio,boca seco ótima acidez fruta suficiente excessivamente austero,combina frutos mar geral
Vinho Chileno Branco Reserva Vina Montes Classic Series Chardonnay Valle Central Garrafa 750ml,129.99,encorpado rico cremoso moderada acidez,chardonnay,chile,chile,branco,vina montes,13.5,12.0,frutas tropicais caramelo baunilha mel,palha reflexos dourados,encorpado rico cremoso moderada acidez,vinho caractere harmonizar varias pratos peixes frango vitela
Vinho Português Branco PORTO NOVAL Extra DRY garrafa 750ml,295.99,boca elegante fino bom equilíbrio álcool açúcar acidez dão nervo frescura aperitivo final longo agradável,malvasia fina gouveio rabigato códega,portugal,?alto douro vinhateiro,branco,quinta do noval,18.5,9.0,intenso frutado,amarelo citrino,fino elegante bom equilíbrio final longo agradável,aperitivo delicioso refrescante servido fresco misturado água tónica acompanhado amêndoas torradas
Vinho Português Branco ASSOBIO Douro Garrafa 750ml,145.99,frutado rico encorpado suave,viosinho verdelho rabigato gouveio codega larinho,portugal,douro,branco,esporão,13.0,12.0,frutos cítricos frutos tropicais,formado cores amarelas cítricas,conjunto volume textura conferem final longo refrescante,peixes mariscos saladas
Vinho Argentino Branco RUTINI SAUVIGNON BLANC Garrafa 750ml,189.99,fermentado barrica sauvignon blanc ganha textura untuosa notas lácteas perder vivacidade tradicional uva maracujá abacaxi notas grapefruit grama cortada,sauvignon blanc,argentina,vale do uco,branco,rutini,12.5,7.0,citrico floral notas fermento,amarelo palha brilhante vivo,refrescante notas sabor persistente,pescados mariscos molhos base creme
Vinho Argentino Branco CATENA Chardonnay Garrafa 750ML,199.99,excelente branco bouquet cativante frutas brancas nota mineral boca macio pleno frutas maduras mel baunilha agradável sutil toque tostado,chardonnay,argentina,mendoza,branco,catena zapata,13.0,10.0,bouquet cativantes frutas brancas notas minerais,amarelo claro,frutas maduras baunilha toque tostaso,pratos delicados peixes aves aperitivo sofisticado
Vinho Brasileiro Frisante Rosé Suave CLUB DES SOMMELIERS Garrafa 750ml,29.99,simplesmente delicoso,assemblage,brasil,serra gaúcha,branco,vinícola aurora,11.5,5.0,levemente frutado,tonalidade,refrescante suave,perfeito consumido acompanha refeições leves petiscos
Vinho Chileno Branco AMAYNA Sauvingon Blanc Garrafa 750ML,189.99,mostra bouquet impressionante frutas tropicais notas cítricas sofisticado toque mineral,sauvignon blanc,chile,chile,branco,vina garces silva,14.000000000000002,10.0,cheio frutas tropicais toque mineral,pallha reflexos esverdeados,frutado fresco,peixes frutos mar
Vinho Chileno Branco Viña Garcés Silva Amayna Boya Sauvignon Blanc Leyda Valley Garrafa 750ml,186.59,sauvignon blanc mostra aroma intenso sedutor todas características marcantes sauvignon blanc notas flores brancas abacaxi manga maracujá bem definidas,sauvignon blanc,chile,chile,branco,amayna,13.0,8.0,notas flores brancas abacaxi maracujá manga,amarelo palha,frutas cítricas ótima acidez,excelente aperitivo acompanhando pratos leves peixes brancos
Vinho Argentino Branco Catena Zapata Alamos Torrontés Mendoza Garrafa 750ml,119.99,alamos torrontés melhor vinho elaborado emblemática casta wine spactator,torrontés,argentina,mendoza,brancos,vinícola alamos,14.0,8.0,aromas frutados floral,amarelo palha,fresco frutado,frutos mar aperitivo carnes brancas delicadas queijos cabra
Vinho Brasileiro Branco Chardonnay Reserva AURORA Garrafa 750ml,55.99,suave frutado fresco,chardonnay,brasil,serra gaúcha,tinto,vinícola aurora,12.0,10.0,frutado toque baunilha,coloração,acidez equilibrada sabor amanteigado,aves peixes massas molhos leves queijos suaves
Vinho Francês Branco Schroder & Schyler Chartron La Fleur Sauvignon Blanc Bordeaux Garrafa 750ml,159.99,segundo robert parker melhores wine values,sauvignon blanc,frança,bordeaux,branco,schroder & schyler,13.0,10.0,bastante aromático frutado,amarelo palha,ótimo frescor elegante,frutos mar aperitivo peixes brancos queijos cabra
Vinho Brasileiro Branco Frisante Saint Germain Moscato Garrafa 750ml,23.25,jóia brasileira,corte uvas viníferas predominância moscato,brasil,serra gaúcha,branco,vinícola aurora,10.5,5.0,frutado,lindo,refrescante suave,refeições leves perfeito consumido acompanhamentos
Vinho Argentino Branco CALLIA Torrontes Garrafa 750ml,89.99,branco toques florais delicado,torrontés,argentina,san juan,branco,bodegas callia,13.0,8.0,aroma vinho apresenta muita intensidade frutos tropicais doces grande gama caracteristicas florais,amarelo pálido reflexos dourados,paladar equilibrado intensidade concentração refletindo frutas doces caracteristicas florais acidez media refrescante saboroso,acompanha aperitivo charcuterie carne vermelha
Vinho Argentino Branco ALAMOS Chardonnay Garrafa 750ML,119.99,fino rico encorpado chardonnay fantástica relação,chardonnay,argentina,mendoza,brancos,vinícola alamos,13.0,10.0,aromas adocicados especiados,amarelo claro,elegante bom corpo,frutos mar camarões aves carnes brancas delicadas molho branco peixes excellente aperitivo
Vinho Italiano Branco RIFF Pinot Grigio Garrafa 750ml,189.99,riff elaborado estilo fresco cativante agrada todos notas florais frutas brancas,pinot grigio,itália,alto adige,branco,alois lageder,13.0,10.0,frutas brancas notas florais,amarelo palha,frutado ótimo frescor,pratos elaborados cogumelo peixe frutos mar aves
Vinho Chileno Branco Lapostolle Sauvignon Blanc Valle Del Rapel Garrafa 750ml,179.99,vinho possui maturação meses borras cubas aço inox,sauvignon blanc sémillon,chile,clos apalta,branco,lapostolle,13.0,10.0,aromático seco,cor amarelo palha,sabor doce leve acidez,aperitivo peixes queijo cabra
Vinho Português Branco Tapada Do Chaves Alentejo Garrafa 750ml,449.99,jóia portuguesa,arinto antão vaz assario tamarez roupeiro,portugal,alentejo,branco,tapada do chaves.,14.0,17.0,complexo frutos frescos,palha citrina,branco encorpado gastronômico notável exuberância fruta fresca final harmonioso frescura acentuada,queijos frutas sobremesas
Vinho Espanhol Branco VIÑA CANTARERA Garrafa 750ml,119.9,vinho prazeroso refrescante versátil,verdejo viura,espanha,castilla,branco,jose estevez,13.0,11.0,aromas frutas brancas frescas,amarelo palha,sabor seco toques minerais boa acidez fresto saboroso corpo agradavel,entradas saladas peixes frutos mar
Vinho Argentino Branco PORTILLO Sauvignon Blanc Garrafa 750ml,186.99,sauvignon blanc impecavelmente fresco saboroso,sauvignon blanc,argentina,vale do uco,branco,bodegas salentein,12.0,7.0,nariz frescor vir caráter cítrico aromas delicados,amarelo palido toques esverdeados,boca frescor desmente bastante equilibrado fresquíssimo boa persistência,leveza frescor portillo sauvignon blanc tornam ideal aperitivar harmonizar pratos base carnes delicadas frutos mar peixes carne branca molhos levemente cítricos podem perfeitos experimente linguado grelhado pimenta rosa limão siciliano
Vinho Chileno Branco CONDOR CHARDONNAY Garrafa 750ml,61.99,exemplar oferece conjunto satisfatório preço bem acessível,chardonnay,chile,peteroa,branco,viña millaman.,12.0,12.0,intenso caráter tropical notas pêssego abacaxi,amarelo pálido tons dourados,vinho acidez balanceada bastante frutado seco,massas molho branco peixes queijos frescos
Vinho Português Branco LUIS PATO Maria Gomes Garrafa 750ML,149.99,branco fresco aromático produzido luis pato revolucionário bairrada,maria gomes,portugal,bairrada,branco,luis pato,12.5,7.0,fruta delicada toques minerais,palha reflexos esverdeados,fresco leve,peixes mariscos vegetais queijos frescos
Vinho Argentino Branco Trapiche Tardio Chardonnay Garrafa 500ml,179.99,vinho chardonnay colheita tardia possui notas abacaxi maçã côco mel baunilha boca doce untuoso frutado persistente,chardonnay,argentina,santa rosa (mendoza),branco,trapiche,13.0,9.0,abacaxi maça côco mel baunilha,amarelo dourado,doce untuoso frutado persistente,foie gras sobremesas base creme pudim leite castanhas frutos secos torta maça queijos fortes gorgonzola roquefort
Vinho Chileno Branco Sauvignon Blanc CHILENSIS Garrafa 750ml,34.99,vinho branco intenso marcante refrescante,sauvignon blanc,chile,casablanca valley,branco,chilensis,12.0,10.0,aromas intensos frutas cítricas toque ervas frescas,amarelo esverdeado,bom volume persistência moderada acidez agradável,ostras queijo cabra vegetariana
Vinho Italiano TRIA INSOLIA Sicilia Garrafa 750ml,99.99,chama atenção ótima textura taninos frescor conjunto,insolia,itália,sicília,tinto,cantina birgi,12.0,15.0,amêndoas frutas cítricas ervas frescas,insolia,vinho grande quantidade taninos boa estrutura volume boca persistência,harmoniza perfeição risotos funghi sashimi caldeirada peixe mariscos
Vinho Francês Branco Guy Saget Vouvray Chenin Blanc Vouvray Garrafa 750ml,279.99,branco fresco delicado agradáveis aromas frutas doces mostra notas florais boa mineralidade excelente acidez,chenin blanc,frança,loire,branco,guy saget,12.0,10.0,aromas frutas doces florais,amarelo palha,boa mineralidade excelente acidez,frutos mar aperitivo peixe molho cremoso
Vinho Português Branco MERUGE Douro Garrafa 750ml,395.99,expressivo harmonioso bastante saboroso elegante,viosinho,portugal,douro,branco,lavradores de feitoria,13.5,9.0,fresco complexo frutado nuances balsâmicas toques baunilha fruto estágio madeira,bonita cor palha dourada aspecto brilhante limpo,rico fresco apresenta fruta fresca melão ananás seguido sabor balsâmico amanteigado agradável persistente acidez equilibrada complexo saboroso verdadeiramente vinho guarda,salmão fresco hadoque manteiga molho branco vieiras bacalhau
Vinho Português Branco ALDEIAS DAS SERRAS Garrafa 750ml,149.99,vinho saboroso possui doce sabor,bical cercial encruzado fina,portugal,dão,branco,adega de silgueiros,12.5,7.0,fruta tropical,citrina,elegante fresco,carnes vermelhas queijos
Vinho Português Branco TRÊS BAGOS Douro Garrafas 750ml,219.99,vinho frutado boa acidez estrutura garantem bom potencial evolução,malvasia gouveio viosinho,portugal,douro,branco,lavradores de feitoria,13.0,9.0,fresco mineral frutado aromas tipo melão ameixa branca,palha citrina brilhante,agradável fresco cheio equilibrado possui boa acidez bom volume final fresco expressivo saboroso,sardinha brasa linguado risoto frutos mar
Vinho Português Branco PASSADOURO Douro Garrafa 750ml,249.99,vinho lindamente construído balanceado elegante impressão final prolongado fresco transparente mostra ótimo exemplar desta ensolarada safra,rabigato códega larinho viosinh,portugal,douro e vinho do porto,branco,quinta do passadouro,12.5,7.0,fino mineral fruto fresco,citrina,frescura complexidade mineralidade características base definem vinho,bacalhau nata quiches saladas boa acidez frutos mar
Vinho Argentino Branco Seco Catena Alta Chardonnay Mendoza Garrafa 750ml,349.99,grande vinho equilibrado capaz evoluir garrafa muitos anos,chardonnay,argentina,mendoza,branco,catena zapata,14.0,10.0,aromas complexos frutado ótima mineralidade,cor palha,complexo mineral amanteigado encorpado,peixes frutos mar grelhados molhos cremosos além aves assadas
Vinho Português Branco MANOELLA Douro Garrafa 750ml,299.99,vinho feito uvas proveniente vinha anos idade elegante seco traz mineralidade típica douro,gouveio viosinho rabigato códega larinho,portugal,douro,branco,wine & soul,12.5,7.0,branco fresco vibrante notas cítricas florais minerais,citrina,boca apresenta excelente equilíbrio pureza sabores,pratos peixe bacalhau queijos amanteigados gastronomia tradicional mediterrânica carnes brancas
Vinho Chileno Branco KALFU MOLU Sauvignon Blanc Garrafa 750ml,59.99,perfeita expressão sauvignon blanc costa chilena,sauvignon blanc,chile,casablanca,branco,vinícola boutique,12.5,10.0,aroma frutas cítricas tropicais polpa branca,cor amarelo palha,corpo leve acidez marcante final suave refrescante retrogosto lembra frutos citricos tropicais,harmoniza bem frutos mar peixes aperitivos
Vinho Português Branco Levity Verde Garrafa 750ml,58.99,vinho refrescante saboroso,loureiro trajadura arinto,portugal,vinho verde,vinho verde,vila nova,95.0,9.0,aroma cítrico maça verde,amarelo palha,acidez acentuada típica vinho verde corpo médio,frutos mar comida japonesa peixes
Vinho Português Branco MARIA MANSA QUINTA DO NOVAL Garrafa 750ml,199.99,elegante fresco bem equilibrado bom branco douro,malvasia fina viosinho gouveio,portugal,douro e vinho do porto,branco,quinta do noval,12.0,12.0,toda mineralidade deste vinho notas florais frutas frescas,citrina,associa frescura fruta pura concentrada carácter único terroir douro castas tradicionais região vinho ótima acidez frescor,bacalhau nata quiches saladas boa acidez frutos mar
